instance_name,best_model,best_r2_score
qspiflash_qflexpress_divfive-p121,exponential,0.9892686766805313
qspiflash_qflexpress_divfive-p137,polynomial,0.9867822270474021
pdtvisbakery2,polynomial,0.9893680667081115
intersymbol_analog_estimation_convergence,exponential,0.9670428014313195
arbitrated_top_n3_w16_d128_e0,exponential,0.9584855496535118
cal4,polynomial,0.9924624708392163
shift1add2048,polynomial,0.9941572268285166
shift_register_top_w64_d8_e0,polynomial,0.9295717533760537
oski15a08b01s,exponential,0.9186871435069771
bobtuintand,linear,0.9957002429914266
qspiflash_dualflexpress_divthree-p106,exponential,0.9386858165002725
bobtuint22neg,linear,0.8844460888442752
oski15a08b17s,exponential,0.9066289376976151
pdtvisgigamax3,linear,0.9195913878846257
nusmvreactorp3,linear,0.9690001999943434
intel046,linear,0.9589389936753528
vis_arrays_am2910_p1,linear,0.890740801110083
zipversa_composecrc_prf-p17,linear,0.9977906404040474
139453p0,linear,0.9988473016822531
beemmcs6f1,exponential,0.9072177478963581
pgm_protocol,None,
shift_register_top_w16_d64_e0,exponential,0.9960264841910462
arbitrated_top_n5_w32_d32_e0,polynomial,0.8679330648948143
qspiflash_qflexpress_divfive-p094,linear,0.8938048654082368
6s391rb379,linear,0.9829021339139267
gen31,linear,0.918636356450868
arbitrated_top_n2_w128_d64_e0,polynomial,0.9515745508359793
oski15a14b18s,linear,0.9894786313778128
cal140,exponential,0.9996971541263879
intel047,linear,0.9614983355646843
6s290,linear,0.9842188884834385
arbitrated_top_n5_w8_d32_e0,polynomial,0.8683761000163688
oski15a01b21s,linear,0.9869703762916664
boblivear,linear,0.9174778843714407
qspiflash_dualflexpress_divthree-p113,exponential,0.9699056202400554
stack-p1,polynomial,0.9676179016142973
vis4arbitp1,polynomial,0.9783769082570343
beemlmprt8f1,polynomial,0.8465134581015372
texasifetch1p1,linear,0.9899318659280569
zipcpu-zipmmu-p09,linear,0.9908961692383093
oski15a01b37s,linear,0.9988233619855642
beembrptwo3b2,polynomial,0.9737429306286325
bobsmoci,polynomial,0.9889281737019655
bobtuint18neg,linear,0.9302994108235937
eijks349,linear,0.9631341560054086
pdtvisretherrtf1,linear,0.9975146987360819
6s119,exponential,0.9970072751914878
qspiflash_qflexpress_divfive-p122,linear,0.9378322865369959
oski15a01b61s,linear,0.9967931055792888
6s109,polynomial,0.9854709681696547
pdtvisvsa16a10,linear,0.9950279167761337
pdtswvibs8x8p0,linear,0.8944073146760286
irstdme5,linear,0.9133207508414936
eijks832,linear,0.9253650275289361
bobtuint20neg,linear,0.9269739018705117
zipcpu-zipmmu-p31,polynomial,0.9771694729792616
arbitrated_top_n2_w8_d32_e0,polynomial,0.8648614482917462
shift1add256,polynomial,0.9908161998832601
oski15a01b20s,linear,0.9889734919142898
mentorbm1p09,exponential,0.9530242611333014
6s421rb083,linear,0.9302219341231998
intel043,polynomial,0.9330332607739011
pdtvisns2p3,linear,0.9994700948916562
nusmvreactorp6,polynomial,0.9536253315241507
qspiflash_dualflexpress_divfive-p154,linear,0.8978194155263012
intel057,linear,0.9452308284208959
6s13,exponential,0.9996326353552725
oski15a01b77s,linear,0.9924757395048353
gen35,polynomial,0.9630207245947426
gen21,linear,0.9460216077749622
oski15a14b19s,linear,0.997425454280686
pdtviscoherence4,linear,0.9516572586328754
nusmvguidancep6,linear,0.9038668997532887
zipversa_composecrc_prf-p07,linear,0.996639316214231
6s306rb03,linear,0.9950303693707784
pdtvsarmultip13,linear,0.9988793101651117
qspiflash_dualflexpress_divthree-p076,polynomial,0.9922294653245561
intel056,linear,0.9179981840357413
intel042,polynomial,0.9810083988714633
simple_alu,linear,0.9671557000392741
eijks953,linear,0.9240424149999397
6s271rb045,polynomial,0.9620180554934119
oski15a08b16s,polynomial,0.525550454692354
6s271rb079,linear,0.9618174701613403
arbitrated_top_n2_w8_d16_e0,polynomial,0.8692386650972945
arbitrated_top_n4_w32_d32_e0,polynomial,0.8658222279747376
6s273b37,linear,0.9260647053772838
qspiflash_dualflexpress_divfive-p009,linear,0.9035983362494511
bobtuint08neg,polynomial,0.9937752975737844
ringp0,linear,0.9863643395134775
oc8051gmdaaddr,linear,0.9546078274778483
dspfilters_fastfir_second-p04,linear,0.992989135397842
cal99,exponential,0.9999834510389128
dspfilters_fastfir_second-p10,polynomial,0.8741434976418747
6s276rb342,polynomial,0.9739269324629148
oski15a14b23s,polynomial,0.8734684601904166
bobtuint16neg,polynomial,0.9815281877577394
6s406rb067,linear,0.9816968069375726
pdtvisvending00,linear,0.9179357271131156
marlann_compute_cp_fail1-p2,linear,0.9843120816534024
6s134,polynomial,0.933045347396905
productioncellp0,linear,0.9096673203087124
6s120,linear,0.9655318466007594
6s108,polynomial,0.9914150711508644
bobcohdoptdcd4,exponential,0.9724829497671856
oski15a14b03s,polynomial,0.8545358690936556
6s122,polynomial,0.9607334676145789
6s317b14,exponential,0.9625719566380435
circular_pointer_top_w8_d16_e0,polynomial,0.9066040595652171
prodcellp1,linear,0.9983686826628513
irstdme6,linear,0.926000133883586
nusmvtcasp3,linear,0.8909876430185926
oski15a10b17s,linear,0.9992156186394153
zipcpu-zipmmu-p26,exponential,0.8967820213746549
qspiflash_dualflexpress_divfive-p037,linear,0.8992207060498455
6s319r,polynomial,0.8744010098236615
oski15a10b01s,linear,0.9965616563353462
nusmvreactorp5,linear,0.8820410433823536
qspiflash_dualflexpress_divfive-p143,linear,0.9954695154656824
intel040,polynomial,0.9669811666747709
oski2b1i,linear,0.9937769631575152
brp2,None,
oski15a14b15s,linear,0.9960358688844286
pdtvsar8multip23,linear,0.9977526077598976
bobmiterbm1or,linear,0.9988699390046074
qspiflash_qflexpress_divfive-p079,linear,0.9034460500837371
zipversa_composecrc_prf-p11,linear,0.9949051095808596
6s38,polynomial,0.9918393322309568
arbitrated_top_n3_w32_d16_e0,polynomial,0.8730457282127603
bj08vendingcycle,polynomial,0.9868434739134258
6s301rb106,linear,0.952959945834667
beemandrsn4b1,exponential,0.9986419741181766
bjrb07amba1andenv,linear,0.9986374446871112
6s215rb0,linear,0.8765840969598201
pdtvisgigamax4,linear,0.9409786395763552
nusmvreactorp4,linear,0.8844774983884454
bobuns2p10d100l,linear,0.9460085727374201
